authorId,name,paperCount,citationCount,hIndex
2078595605,Alejandro Echeverría,10,5917,4
2070303231,Melissa Vazquez,2,5401,1
6122250,Natalia Vélez,22,5540,6
35039893,Marieke Vermue,15,5512,5
88801524,M. Verschoor,19,6407,9
46989769,M. Vianello,93,9214,21
2176390,M. Voracek,445,19995,56
113898223,Gina Vuu,2,5401,1
2505272,E. Wagenmakers,592,46518,95
6348079,Joanneke Weerdmeester,10,5516,6
2058927069,Ashlee Welsh,2,5401,1
5900056,Erin C. Westgate,62,6589,16
67239528,Joeri Wissink,10,5478,2
145322160,M. Wood,101,7482,25
48197426,A. Woods,65,7519,29
2058458367,Emily M. Wright,2,5401,1
151482749,Sining Wu,5,5406,2
145525838,M. Zeelenberg,291,24811,65
117597026,Kellylynn Zuni,3,5556,2
9625473,M. Gunter,657,31635,73
144367387,N. Murphy,178,16666,44
34854762,A. Cross,353,15881,69
4174724,L. Dossus,274,12967,62
3274593,L. Dartois,41,2111,22
6014161,G. Fagherazzi,352,12900,65
47394390,R. Kaaks,1097,86297,143
1771263,T. Kühn,290,10453,53
143754577,H. Boeing,1354,114383,158
35004851,K. Aleksandrova,192,6625,47
