paperId,referenceCount,citationCount,authorsCount,occupiedJournalPages,authors_sum_paperCount,authors_sum_citationCount,authors_sum_hIndex,altmetric_score,influentialCitationCount
392bca415565c3a38c52446c95d6a1e88ec49e1a,62,1703,7,0,464,37096,151,12,21
545ad0626ab4d50200d7d3cf444939401a677b28,33,187,2,0,327,49343,109,1391,6
81bd8c13832a518d11d215b8a80aad817a749d43,0,220,2,0,14,470,6,1029,0
9f18ccb6c9eaa3f61ccf0e81699e56392901528e,36,438,12,0,1863,97782,352,755,2
9e16cfa246a89e48254f23ad901673de0cad2724,4,939,2,0,1613,169725,256,2032,60
8caaa8e9dfec3e18168740dd8c3feccef370a722,46,52,9,0,9105,1123487,1237,1078,3
90807faae7e0f1ee33eb41d0b9bbd3bded077f70,51,978,28,0,3414,252406,748,1836,45
984f050a8e3e3adfaef31bf1038edcdf3011a772,180,728,12,0,6544,750764,1169,3514,27
e50bee229358851900e45552e64ceb3b847d8ef8,0,1,6,0,318,14862,111,2504,0
458cf179f9cfb53a7032b6453e15cb7c91c6cab8,72,620,21,0,1503,84273,400,1691,97
12caf157982c7996dd74413efa3ee919fd0c2dac,44,679,27,0,4129,282881,989,4767,31
61a28477008aef4f7cabacdd6ec9f42e3b1d9214,46,5877,1,0,80,11508,34,133,803
e2d9ef600adcf0a2e8252777cf5e4d917e99b212,0,0,1,0,28,141,5,0,0
ac4d26b9dd431c076cfe744c4c5d68554a33067b,34,156,12,0,1498,118687,406,2292,4
e932c974074cc4a38f02fa7d674932eef81faf61,0,458,3,0,346,22347,115,3,28
6e29a07906289012958cfa8d05d466cea1f050a1,0,1855,1,0,60,3071,16,0,184
bdd70d237ddce91e33cd0c5c4706e02b0d46b92f,48,248,4,0,560,21459,124,2603,6
0107ab33dc0e27934ca11c826cc65852b1ea53fb,1,374,1,0,124,12281,54,0,15
6d1867db6038f05079ba86f5680d4ccde3074d9d,32,576,14,0,4816,453414,971,1336,8
a627cb00f25a916df243e16ea0ae7d0268f951ca,0,0,1,0,12,15,1,0,0
9997c55376fcb0cd2302ab0d96e5962f3167999b,36,93,5,0,809,40845,176,2613,2
37b0ec9dc369dcda843cf88755bf44522a11a7c9,28,220,1,0,69,1584,20,3,25
45c675bb104824664e6b5dba9ff65c5c58e39bb5,95,1724,3,0,1153,130178,300,73,90
76724d71347abe66f085cd0a4306d54f6e1e9ac0,47,1659,4,0,1502,99944,302,3921,54
b9bbf52fa0f8ac051126febf72627ceeb37f3c19,20,36,7,0,1143,18915,168,2066,5
a905bb6b0da059d854548f7c34b0cddad9a3b529,244,1048,5,0,659,32037,139,4,150
8703843293ddddf400078c9d81aa6bad47823db9,232,704,8,0,971,52669,235,5679,20
ba0da9e1cd8a6962daf79dd34609213b6b23bc23,78,156,2,0,1421,128421,174,1874,1
fee8128c039a4c58c7a4b59b43beaebacb1edfeb,46,257,34,0,3073,93714,460,2852,4
c99722a12671e2b1a1bdaaf877cb050f1acc81df,78,42,5,0,436,20369,149,3179,3
e0b46e54a742c077006418a7e132e8105371829f,327,6340,3,0,442,50928,120,41,353
a82bdfe5f60ee9aa9dd6042e5c87832f74cee252,29,962,3,0,587,27375,114,2591,41
8e076cc26a432ca104dbcb592814405264817363,7,1202,1,0,155,16249,55,33,116
02fe377dc583cd10d0f5e042627f1e43c6531a8f,39,210,1,0,173,6295,35,3,10
2bfd55d8612c872122499417b9de1c70cda9f562,100,2204,16,0,2483,150666,564,26,264
e1ec11a1cb3d9745fb18d3bf74247f95a6663d08,32,7578,7,0,1221,201430,352,2898,148
49c4bc07b0047425117d89935c27aa4d22c5c174,50,1602,1,0,308,13023,59,3,127
9b904854a6de2322eb5ce9d93240307e5109edd7,4,7,3,0,330,10351,81,949,0
84c5cda9173813a45c3a48adb8154ef25ac644cb,58,612,13,0,3004,129742,493,1812,13
3a3042d65682805140a1013cd2e7af4ec8b261b4,57,1077,3,0,516,28552,140,1242,46
989081b60ae3cf4ecc7a0f739038bfaf61ea9b9e,6,2475,5,0,1141,68285,229,22,22
a88855431898e3143c6e8613112489e73db0441b,27,226,5,0,521,16100,136,2160,3
c130a72466976096230a31c23f4201f13ce33ea5,0,10,3,0,115,11127,43,6,0
9930b98abeb97374c73cf359cb61521b6ad3d535,57,375,1,0,59,2050,18,6,53
94abff3a3142809bd205254e34776647f83657d6,4,1147,1,0,243,6669,38,6,42
ebefbee5e96fc2217d651266eb35a0759672e7ca,27,2975,1,0,277,56808,73,38,471
bc3c1ddeb8862aa4e440f0f174a2c690d495bb8e,51,95,7,0,1496,66986,302,2178,8
273049285135d043ff8c5f04c3e5800eeccb6adc,10,119,2,0,288,26629,63,2231,3
2eef3e5addd1efa355e7536590984ecd1656c79e,154,12815,19,0,11646,1257687,1644,3402,784
c7fbea9d039e93fc721f0cd1538b5ac04b4f0e73,34,1151,35,0,2759,346532,920,450,33
300f6e755d2e1fd1e3c42804c724f988b7b0e1a1,259,4225,1,0,404,11767,38,0,299
332d4e7950ea583b7755f37fadf8c536d35876c1,70,1808,12,0,863,69871,240,6975,39
c619e6fbebab17037b6aff18890f79e7a0c85841,0,1,1,0,24,201,6,0,0
